signature,tissue,n_samples,median_score,mean_score,q1,q3,iqr
MitoAll,Muscle - Skeletal,818,0.29083583536155666,0.3015045902865203,0.14890745950823445,0.44755589636636195,0.2986484368581275
MitoAll,Heart - Atrial Appendage,461,0.24878557772099102,0.2022792492489096,0.015405606872041063,0.4068419017139942,0.39143629484195314
MitoAll,Heart - Left Ventricle,452,0.09104220341067545,-0.1947098902632921,-0.534684166832206,0.32034507072025836,0.8550292375524644
MitoAll,Whole Blood,803,-0.30732869561844706,-0.3136645309577994,-0.539846414632746,-0.0514029059146341,0.4884435087181119
MitoOnly,Muscle - Skeletal,818,0.3039930292423141,0.3111698231801882,0.1655442824066176,0.44512288666981736,0.2795786042631998
MitoOnly,Heart - Atrial Appendage,461,0.2718886639667905,0.22485789189646177,0.03637716836719671,0.43522799288282016,0.3988508245156234
MitoOnly,Heart - Left Ventricle,452,0.14371275340645048,-0.16485062103827797,-0.5271786040592967,0.3604918109881927,0.8876704150474894
MitoOnly,Whole Blood,803,-0.3506007341419121,-0.3532801031337001,-0.5841746347583701,-0.09290883888148492,0.4912657958768851
